Timestamp,Your name,Team,Games,Team,Games,Team,Games,Team,Games
5/1/2023 20:56:55,Stephanie,Dallas Stars (C2),6,Vegas Golden Knights (P1),6,Toronto Maple Leafs (A2),5,New Jersey Devils (M2),7
5/1/2023 20:57:18,Marc,Seattle Kraken (WC1),6,Edmonton Oilers (P2),6,Toronto Maple Leafs (A2),7,Carolina Hurricanes (M1),6
5/1/2023 20:59:58,Kiersten,Seattle Kraken (WC1),4,Vegas Golden Knights (P1),5,Florida Panthers (WC2),6,New Jersey Devils (M2),7
5/1/2023 21:06:57,Glenda,Seattle Kraken (WC1),5,Edmonton Oilers (P2),7,Toronto Maple Leafs (A2),5,Carolina Hurricanes (M1),5
5/1/2023 21:07:40,Jaclyn,Dallas Stars (C2),6,Edmonton Oilers (P2),6,Toronto Maple Leafs (A2),7,Carolina Hurricanes (M1),6
5/1/2023 21:08:36,Nathan,Dallas Stars (C2),7,Edmonton Oilers (P2),6,Toronto Maple Leafs (A2),5,New Jersey Devils (M2),6
5/1/2023 21:27:37,Derrick,Dallas Stars (C2),5,Edmonton Oilers (P2),6,Toronto Maple Leafs (A2),5,New Jersey Devils (M2),6
5/1/2023 21:33:28,Jake,Seattle Kraken (WC1),5,Edmonton Oilers (P2),4,Toronto Maple Leafs (A2),4,Carolina Hurricanes (M1),6
5/1/2023 21:36:01,Ryan,Dallas Stars (C2),6,Edmonton Oilers (P2),5,Toronto Maple Leafs (A2),6,Carolina Hurricanes (M1),7
5/2/2023 8:08:19,Benedict,Dallas Stars (C2),6,Edmonton Oilers (P2),5,Toronto Maple Leafs (A2),4,New Jersey Devils (M2),7
5/2/2023 8:09:10,Jamie,Dallas Stars (C2),5,Edmonton Oilers (P2),6,Toronto Maple Leafs (A2),7,Carolina Hurricanes (M1),6
5/2/2023 16:45:57,Sophie,Seattle Kraken (WC1),5,Edmonton Oilers (P2),5,Florida Panthers (WC2),4,New Jersey Devils (M2),6
5/2/2023 16:47:36,Robin,Dallas Stars (C2),6,Edmonton Oilers (P2),7,Toronto Maple Leafs (A2),5,Carolina Hurricanes (M1),6
5/2/2023 16:50:34,Theodore,Dallas Stars (C2),7,Vegas Golden Knights (P1),7,Florida Panthers (WC2),4,New Jersey Devils (M2),5
5/6/2023 17:19:21,Nickall,Seattle Kraken (WC1),6,Edmonton Oilers (P2),7,Florida Panthers (WC2),5,Carolina Hurricanes (M1),6
