Timestamp,Your name,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games
,BENEDICT,STL,5,CHI,6,WPG,4,VAN,6,MTL,4,TBL,6,PIT,7,WSH,7
,DERRICK,STL,6,CHI,6,WPG,7,VAN,5,MTL,6,TBL,6,NYR,6,WSH,6
,GLENDA,STL,6,NSH,7,ANA,6,CGY,7,MTL,5,TBL,6,NYR,7,NYI,6
,JACLYN,STL,5,NSH,5,ANA,6,VAN,7,MTL,5,DET,6,NYR,7,WSH,6
,JAKE,STL,5,NSH,6,WPG,6,CGY,4,MTL,4,DET,4,PIT,5,NYI,5
,JAMIE,MIN,7,NSH,7,WPG,6,VAN,7,OTT,7,DET,4,PIT,7,NYI,7
,MARC,STL,5,CHI,7,ANA,6,VAN,6,MTL,5,TBL,7,NYR,7,WSH,6
,NATHAN,STL,6,CHI,6,ANA,7,VAN,5,MTL,6,TBL,6,NYR,5,WSH,7
,NICKALL,STL,5,NSH,7,ANA,6,CGY,7,OTT,6,TBL,6,PIT,5,WSH,7
,RYAN,MIN,6,CHI,6,WPG,5,CGY,7,MTL,5,TBL,4,NYR,5,WSH,6
,STEPHANIE,STL,5,CHI,6,ANA,6,VAN,7,MTL,6,DET,6,PIT,7,WSH,6
