Timestamp,Your name,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games
5/14/2021 18:13:05,Stephanie,St Louis Blues (4),6,Vegas Golden Knights (2),5,Montreal Canadiens (4),6,Winnipeg Jets (3),4,Pittsburgh Penguins (1),6,Washington Capitals (2),5,Carolina Hurricanes (1),5,Tampa Bay Lightning (3),6
5/14/2021 18:15:35,Marc,Colorado Avalanche (1),6,Vegas Golden Knights (2),5,Toronto Maple Leafs (1),7,Edmonton Oilers (2),7,Pittsburgh Penguins (1),6,Boston Bruins (3),5,Carolina Hurricanes (1),6,Tampa Bay Lightning (3),6
5/14/2021 18:21:02,Theodore,St Louis Blues (4),4,Minnesota Wild (3),7,Montreal Canadiens (4),6,Edmonton Oilers (2),5,New York Islanders (4),4,Washington Capitals (2),7,Nashville Predators (4),4,Florida Panthers (2),4
5/14/2021 18:21:14,Jamie,St Louis Blues (4),4,Minnesota Wild (3),7,Montreal Canadiens (4),4,Edmonton Oilers (2),4,Pittsburgh Penguins (1),4,Washington Capitals (2),4,Carolina Hurricanes (1),7,Florida Panthers (2),5
5/14/2021 18:22:31,Benedict,St Louis Blues (4),4,Minnesota Wild (3),7,Toronto Maple Leafs (1),4,Winnipeg Jets (3),4,Pittsburgh Penguins (1),4,Boston Bruins (3),4,Nashville Predators (4),4,Florida Panthers (2),4
5/14/2021 18:23:57,Derrick,Colorado Avalanche (1),5,Vegas Golden Knights (2),6,Toronto Maple Leafs (1),5,Edmonton Oilers (2),5,Pittsburgh Penguins (1),5,Washington Capitals (2),6,Carolina Hurricanes (1),5,Tampa Bay Lightning (3),6
5/14/2021 18:25:31,Jake,St Louis Blues (4),6,Minnesota Wild (3),4,Toronto Maple Leafs (1),7,Edmonton Oilers (2),7,Pittsburgh Penguins (1),7,Boston Bruins (3),6,Nashville Predators (4),6,Tampa Bay Lightning (3),6
5/14/2021 18:27:44,Kiersten,St Louis Blues (4),7,Vegas Golden Knights (2),4,Toronto Maple Leafs (1),5,Winnipeg Jets (3),6,New York Islanders (4),7,Washington Capitals (2),4,Nashville Predators (4),5,Florida Panthers (2),6
5/14/2021 18:27:46,Robin,St Louis Blues (4),7,Minnesota Wild (3),7,Montreal Canadiens (4),7,Edmonton Oilers (2),7,Pittsburgh Penguins (1),7,Boston Bruins (3),7,Nashville Predators (4),7,Florida Panthers (2),7
5/14/2021 22:01:44,Jaclyn,Colorado Avalanche (1),6,Vegas Golden Knights (2),7,Montreal Canadiens (4),6,Edmonton Oilers (2),5,New York Islanders (4),5,Boston Bruins (3),7,Nashville Predators (4),6,Tampa Bay Lightning (3),6
5/15/2021 8:37:20,Nathan,Colorado Avalanche (1),5,Vegas Golden Knights (2),6,Toronto Maple Leafs (1),5,Edmonton Oilers (2),6,Pittsburgh Penguins (1),7,Boston Bruins (3),7,Carolina Hurricanes (1),5,Tampa Bay Lightning (3),6
5/15/2021 9:43:08,Ryan,Colorado Avalanche (1),5,Vegas Golden Knights (2),6,Toronto Maple Leafs (1),7,Edmonton Oilers (2),4,New York Islanders (4),6,Boston Bruins (3),6,Carolina Hurricanes (1),5,Tampa Bay Lightning (3),6
5/15/2021 10:12:52,Glenda,Colorado Avalanche (1),6,Minnesota Wild (3),6,Toronto Maple Leafs (1),5,Edmonton Oilers (2),5,Pittsburgh Penguins (1),5,Washington Capitals (2),5,Carolina Hurricanes (1),5,Tampa Bay Lightning (3),6
5/15/2021 14:13:30,Nickall,St Louis Blues (4),6,Vegas Golden Knights (2),7,Montreal Canadiens (4),6,Edmonton Oilers (2),7,New York Islanders (4),6,Washington Capitals (2),5,Nashville Predators (4),6,Florida Panthers (2),6
