Timestamp,Your name,Team,Games
6/1/2023 8:44:37,Marc,Vegas Golden Knights (P1),6
6/1/2023 8:45:54,Stephanie,Vegas Golden Knights (P1),6
6/1/2023 8:46:36,Theodore,Florida Panthers (WC2),7
6/1/2023 8:48:01,Sophie,Vegas Golden Knights (P1),5
6/1/2023 8:51:55,Derrick,Florida Panthers (WC2),6
6/1/2023 8:53:17,Nathan,Vegas Golden Knights (P1),6
6/1/2023 14:04:10,Jaclyn,Vegas Golden Knights (P1),6
6/2/2023 8:50:30,Glenda,Vegas Golden Knights (P1),6
6/3/2023 9:05:05,Jamie,Vegas Golden Knights (P1),6
6/3/2023 9:05:22,Benedict,Vegas Golden Knights (P1),5
6/3/2023 9:06:22,Kiersten,Florida Panthers (WC2),4
6/3/2023 14:24:24,Ryan,Florida Panthers (WC2),5
6/3/2023 18:21:41,Nickall,Vegas Golden Knights (P1),7
6/4/2023 20:58:24,Jake,Florida Panthers (WC2),6
6/4/2023 21:12:37,Robin,Florida Panthers (WC2),7
