Timestamp,Your name,Team,Games,Team,Games,Team,Games,Team,Games
5/16/2022 9:25:27,Stephanie,Colorado Avalanche (1),6,Calgary Flames (1),6,Tampa Bay Lightning (3),6,New York Rangers (2),7
5/16/2022 9:28:46,Marc,Colorado Avalanche (1),6,Edmonton Oilers (2),7,Florida Panthers (1),6,Carolina Hurricanes (1),6
5/16/2022 11:37:26,Jaclyn,Colorado Avalanche (1),6,Edmonton Oilers (2),7,Tampa Bay Lightning (3),6,Carolina Hurricanes (1),6
5/16/2022 16:25:59,Theodore,Colorado Avalanche (1),4,Calgary Flames (1),6,Tampa Bay Lightning (3),7,Carolina Hurricanes (1),5
5/16/2022 17:15:35,Benedict,Colorado Avalanche (1),5,Edmonton Oilers (2),6,Florida Panthers (1),4,Carolina Hurricanes (1),6
5/16/2022 17:17:19,Kiersten,Colorado Avalanche (1),4,Edmonton Oilers (2),5,Florida Panthers (1),6,New York Rangers (2),7
5/16/2022 17:18:23,Jamie,St Louis Blues (3),7,Edmonton Oilers (2),7,Tampa Bay Lightning (3),6,Carolina Hurricanes (1),7
5/16/2022 18:17:33,Nickall,St Louis Blues (3),6,Edmonton Oilers (2),7,Florida Panthers (1),5,Carolina Hurricanes (1),6
5/16/2022 18:32:11,Nathan,Colorado Avalanche (1),5,Calgary Flames (1),6,Florida Panthers (1),6,Carolina Hurricanes (1),5
5/16/2022 19:37:34,Derrick,Colorado Avalanche (1),6,Edmonton Oilers (2),6,Florida Panthers (1),6,Carolina Hurricanes (1),6
5/16/2022 19:55:50,Robin,St Louis Blues (3),7,Edmonton Oilers (2),7,Tampa Bay Lightning (3),7,New York Rangers (2),4
5/16/2022 19:56:39,Jake,Colorado Avalanche (1),7,Edmonton Oilers (2),7,Florida Panthers (1),7,Carolina Hurricanes (1),7
5/16/2022 19:57:09,Ryan,Colorado Avalanche (1),6,Edmonton Oilers (2),7,Florida Panthers (1),6,Carolina Hurricanes (1),6
5/16/2022 22:38:52,Glenda,Colorado Avalanche (1),5,Calgary Flames (1),5,Florida Panthers (1),6,Carolina Hurricanes (1),6
