Timestamp,Your name,Team,Games,Team,Games,Team,Games,Team,Games
,BENEDICT,DAL,6,NAS,7,PIT,6,NYI,6
,DERRICK,STL,6,SJ,6,WAS,6,TB,6
,GLENDA,STL,6,SJ,4,WAS,6,NYI,6
,JACLYN,STL,5,SJ,6,WAS,6,TB,7
,JAKE,DAL,5,SJ,7,WAS,7,TB,4
,JAMIE,STL,4,SJ,4,WAS,7,NYI,7
,MARC,STL,6,NAS,6,WAS,7,NYI,7
,NATHAN,STL,6,SJ,6,WAS,7,TB,6
,NICKALL,STL,7,NAS,5,PIT,6,NYI,6
,ROBIN,STL,5,NAS,4,WAS,7,NYI,5
,RYAN,STL,6,SJ,6,WAS,7,TB,5
,STEPHANIE,DAL,7,SJ,6,PIT,6,NYI,6
