Timestamp,Your name,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games
,BENEDICT,MIN,7,STL,7,NAS,5,SJ,6,PHI,5,PIT,7,FLA,7,TB,5
,DERRICK,DAL,5,STL,6,ANA,5,LA,7,WAS,5,PIT,6,FLA,6,TB,6
,GLENDA,DAL,6,CHI,4,ANA,6,LA,6,WAS,6,PIT,4,FLA,4,TB,4
,JACLYN,DAL,7,CHI,5,NAS,5,LA,7,WAS,6,PIT,7,FLA,6,TB,7
,JAKE,DAL,6,CHI,7,ANA,7,SJ,4,PHI,5,NYR,4,NYI,5,TB,4
,JAMIE,DAL,7,CHI,5,ANA,4,LA,6,WAS,4,NYR,4,NYI,4,TB,6
,MARC,MIN,6,STL,7,ANA,6,LA,7,WAS,6,PIT,5,FLA,6,TB,7
,NATHAN,DAL,5,STL,7,ANA,5,LA,6,WAS,5,PIT,7,FLA,7,TB,6
,NICKALL,DAL,6,CHI,5,NAS,7,SJ,6,PHI,6,PIT,7,NYI,7,TB,7
,ROBIN,DAL,6,CHI,5,NAS,6,SJ,5,WAS,6,PIT,5,NYI,6,TB,4
,RYAN,DAL,5,CHI,7,NAS,7,SJ,6,WAS,4,PIT,6,FLA,5,TB,7
,STEPHANIE,DAL,6,CHI,5,ANA,6,SJ,5,WAS,6,PIT,6,FLA,7,DET,6
