Timestamp,Your name,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games,Team,Games
8/10/2020 10:02:39,Nathan,Vegas Golden Knights (1),4,Colorado Avalanche (2),5,Dallas Stars (3),6,St Louis Blues (4),6,Philadelphia Flyers (1),5,Tampa Bay Lightning (2),5,Washington Capitals (3),7,Boston Bruins (4),6
8/10/2020 10:03:25,Nickall,Vegas Golden Knights (1),6,Arizona Coyotes (11),5,Dallas Stars (3),6,Vancouver Canucks (7),7,Montreal Canadiens (12),7,Tampa Bay Lightning (2),6,Washington Capitals (3),5,Boston Bruins (4),7
8/10/2020 11:40:40,Stephanie,Chicago Blackhawks (12),5,Colorado Avalanche (2),6,Dallas Stars (3),5,St Louis Blues (4),6,Montreal Canadiens (12),5,Tampa Bay Lightning (2),6,Washington Capitals (3),5,Carolina Hurricanes (6),6
8/10/2020 12:28:32,Jaclyn,Vegas Golden Knights (1),7,Colorado Avalanche (2),5,Dallas Stars (3),6,St Louis Blues (4),7,Philadelphia Flyers (1),6,Tampa Bay Lightning (2),6,Washington Capitals (3),7,Carolina Hurricanes (6),7
8/10/2020 14:56:10,Theodore,Chicago Blackhawks (12),4,Arizona Coyotes (11),4,Calgary Flames (8),4,Vancouver Canucks (7),4,Montreal Canadiens (12),4,Columbus Blue Jackets (9),5,New York Islanders (7),7,Boston Bruins (4),4
8/10/2020 15:03:35,Derrick,Vegas Golden Knights (1),5,Colorado Avalanche (2),5,Calgary Flames (8),6,Vancouver Canucks (7),6,Philadelphia Flyers (1),5,Tampa Bay Lightning (2),6,Washington Capitals (3),5,Carolina Hurricanes (6),5
8/10/2020 19:44:42,Jake,Vegas Golden Knights (1),7,Arizona Coyotes (11),7,Dallas Stars (3),4,Vancouver Canucks (7),4,Philadelphia Flyers (1),5,Columbus Blue Jackets (9),5,New York Islanders (7),6,Carolina Hurricanes (6),6
8/10/2020 19:48:56,Jamie,Chicago Blackhawks (12),4,Colorado Avalanche (2),7,Calgary Flames (8),5,Vancouver Canucks (7),7,Philadelphia Flyers (1),4,Tampa Bay Lightning (2),6,Washington Capitals (3),5,Boston Bruins (4),5
8/10/2020 19:55:58,Benedict,Vegas Golden Knights (1),4,Arizona Coyotes (11),7,Calgary Flames (8),5,St Louis Blues (4),6,Montreal Canadiens (12),4,Tampa Bay Lightning (2),5,Washington Capitals (3),7,Carolina Hurricanes (6),5
8/10/2020 20:13:09,Robin,Chicago Blackhawks (12),4,Arizona Coyotes (11),4,Calgary Flames (8),4,Vancouver Canucks (7),4,Montreal Canadiens (12),4,Columbus Blue Jackets (9),4,New York Islanders (7),4,Boston Bruins (4),4
8/10/2020 21:08:28,Ryan,Vegas Golden Knights (1),5,Colorado Avalanche (2),4,Dallas Stars (3),6,Vancouver Canucks (7),7,Philadelphia Flyers (1),5,Columbus Blue Jackets (9),6,Washington Capitals (3),6,Boston Bruins (4),6
8/10/2020 21:51:41,Glenda,Vegas Golden Knights (1),5,Colorado Avalanche (2),5,Calgary Flames (8),5,Vancouver Canucks (7),5,Montreal Canadiens (12),5,Columbus Blue Jackets (9),5,Washington Capitals (3),5,Boston Bruins (4),5
8/11/2020 9:14:43,Ryan,Vegas Golden Knights (1),5,Colorado Avalanche (2),4,Dallas Stars (3),6,Vancouver Canucks (7),7,Philadelphia Flyers (1),5,Columbus Blue Jackets (9),6,Washington Capitals (3),6,Boston Bruins (4),6
8/11/2020 11:49:39,Marc,Vegas Golden Knights (1),5,Colorado Avalanche (2),6,Calgary Flames (8),7,St Louis Blues (4),6,Philadelphia Flyers (1),6,Tampa Bay Lightning (2),5,Washington Capitals (3),7,Carolina Hurricanes (6),6
8/11/2020 16:56:32,Glenda,Vegas Golden Knights (1),5,Colorado Avalanche (2),5,Calgary Flames (8),5,Vancouver Canucks (7),5,Montreal Canadiens (12),5,Columbus Blue Jackets (9),5,Washington Capitals (3),5,Boston Bruins (4),5
8/21/2020 22:46:50,Kiersten,Chicago Blackhawks (12),6,Arizona Coyotes (11),6,Calgary Flames (8),6,Vancouver Canucks (7),6,Montreal Canadiens (12),6,Columbus Blue Jackets (9),6,New York Islanders (7),6,Carolina Hurricanes (6),6
